database	disease	description	icd_code
ICD	Aortic aneurysm	Aortic aneurysm and dissection	I71
ICD	Aortic aneurysm	"Thoracic aortic aneurysm, ruptured"	I71.1
ICD	Aortic aneurysm	"Thoracic aortic aneurysm, without mention of rupture"	I71.2
ICD	Aortic aneurysm	"Abdominal aortic aneurysm, ruptured"	I71.3
ICD	Aortic aneurysm	"Abdominal aortic aneurysm, without mention of rupture"	I71.4
ICD	Aortic aneurysm	"Thoracoabdominal aortic aneurysm, ruptured"	I71.5
ICD	Aortic aneurysm	"Thoracoabdominal aortic aneurysm, without mention of rupture"	I71.6
ICD	Aortic aneurysm	"Aortic aneurysm of unspecified site, ruptured"	I71.8
ICD	Aortic aneurysm	"Aortic aneurysm of unspecified site, without mention of rupture"	I71.9
OPCS	Aortic aneurysm	Endovascular insertion of stent graft for infrarenal abdominal aortic aneurysm	L27.1
OPCS	Aortic aneurysm	Endovascular insertion of stent graft for suprarenal aortic aneurysm	L27.2
OPCS	Aortic aneurysm	Endovascular insertion of stent graft for thoracic aortic aneurysm	L27.3
OPCS	Aortic aneurysm	Endovascular insertion of stent graft for aortic aneurysm of bifurcation NEC	L27.5
OPCS	Aortic aneurysm	Endovascular insertion of stent graft for aorto-uni-iliac aneurysm	L27.6
OPCS	Aortic aneurysm	Endovascular insertion of stent for infrarenal abdominal aortic aneurysm	L28.1
OPCS	Aortic aneurysm	Endovascular insertion of stent for suprarenal aortic aneurysm	L28.2
OPCS	Aortic aneurysm	Endovascular insertion of stent for thoracic aortic aneurysm	L28.3
OPCS	Aortic aneurysm	Endovascular insertion of stent for aortic aneurysm of bifurcation NEC	L28.5
OPCS	Aortic aneurysm	Endovascular insertion of stent for aorto-uni-iliac aneurysm	L28.6
ICD	Aortic stenosis	Aortic (valve) stenosis with insufficiency	I35.2
ICD	Aortic stenosis	Aortic (valve) stenosis	I35.0
OPCS	Aortic stenosis	Repair of supra-aortic stenosis	K37.4
ICD	Atrial fibrillation/flutter	Atrial fibrillation and flutter	I48
ICD	Atrial fibrillation/flutter	Paroxysmal atrial fibrillation	I48.0
ICD	Atrial fibrillation/flutter	Persistent atrial fibrillation	I48.1
ICD	Atrial fibrillation/flutter	Chronic atrial fibrillation	I48.2
ICD	Atrial fibrillation/flutter	Typical atrial flutter	I48.3
ICD	Atrial fibrillation/flutter	Atypical atrial flutter	I48.4
ICD	Atrial fibrillation/flutter	"Atrial fibrillation and atrial flutter, unspecified"	I48.9
OPCS	Atrial fibrillation/flutter	Percutaneous transluminal ablation of atrial wall for atrial flutter	K62.2
OPCS	Atrial fibrillation/flutter	Percutaneous transluminal ablation of conducting system of heart for atrial flutter NEC	K62.3
ICD	Heart block	Atrioventricular and left bundle-branch block	I44
ICD	Heart block	Other and unspecified atrioventricular block	I44.3
ICD	Heart block	Other specified heart block	I45.5
ICD	Heart block	"Atrioventricular block, second degree"	I44.1
ICD	Heart block	"Atrioventricular block, complete"	I44.2
OPCS	Heart block	Cardiac pacemaker system introduced through vein	K60
OPCS	Heart block	Implantation of intravenous cardiac pacemaker system NEC	K60.1
OPCS	Heart block	Resiting of lead of intravenous cardiac pacemaker system	K60.2
OPCS	Heart block	Renewal of intravenous cardiac pacemaker system NEC	K60.3
OPCS	Heart block	Implantation of intravenous single chamber cardiac pacemaker system	K60.5
OPCS	Heart block	Implantation of intravenous dual chamber cardiac pacemaker system	K60.6
OPCS	Heart block	Other specified cardiac pacemaker system introduced through vein	K60.8
OPCS	Heart block	Unspecified cardiac pacemaker system introduced through vein	K60.9
OPCS	Heart block	Other cardiac pacemaker system	K61
OPCS	Heart block	Implantation of cardiac pacemaker system NEC	K61.1
OPCS	Heart block	Resiting of lead of cardiac pacemaker system NEC	K61.2
OPCS	Heart block	Renewal of cardiac pacemaker system NEC	K61.3
OPCS	Heart block	Implantation of single chamber cardiac pacemaker system	K61.5
OPCS	Heart block	Implantation of dual chamber cardiac pacemaker system	K61.6
OPCS	Heart block	Other specified other cardiac pacemaker system	K61.8
OPCS	Heart block	Unspecified other cardiac pacemaker system	K61.9
OPCS	Heart block	Other cardiac pacemaker system introduced through vein	K73
OPCS	Heart block	Renewal of intravenous single chamber cardiac pacemaker system	K73.1
OPCS	Heart block	Renewal of intravenous dual chamber cardiac pacemaker system	K73.2
OPCS	Heart block	Other specified other cardiac pacemaker system introduced through vein	K73.8
OPCS	Heart block	Unspecified other cardiac pacemaker system introduced through vein	K73.9
OPCS	Heart block	Cardiac pacemaker system	K74
OPCS	Heart block	Renewal of single chamber cardiac pacemaker system NEC	K74.1
OPCS	Heart block	Renewal of dual chamber cardiac pacemaker system NEC	K74.2
OPCS	Heart block	Other specified cardiac pacemaker system	K74.8
OPCS	Heart block	Unspecified cardiac pacemaker system	K74.9
ICD	Heart failure	Hypertensive heart disease with (congestive) heart failure	I11.0
ICD	Heart failure	Hypertensive heart and renal disease with (congestive) heart failure	I13.0
ICD	Heart failure	Hypertensive heart and renal disease with renal failure	I13.1
ICD	Heart failure	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	I13.2
ICD	Heart failure	Heart failure	I50
ICD	Heart failure	Congestive heart failure	I50.0
ICD	Heart failure	Left ventricular failure	I50.1
ICD	Heart failure	"Heart failure, unspecified"	I50.9
ICD	Heart failure	Ischaemic cardiomyopathy	I25.5
ICD	Heart failure	Cardiomyopathy	I42
ICD	Heart failure	Dilated cardiomyopathy	I42.0
ICD	Heart failure	Other restrictive cardiomyopathy	I42.5
ICD	Heart failure	Cardiomyopathy due to drugs and other external agents	I42.7
ICD	Heart failure	"Cardiomyopathy, unspecified"	I42.9
ICD	Heart failure	Cardiomyopathy in diseases classified elsewhere	I43
ICD	Heart failure	Cardiomyopathy in metabolic diseases	I43.1
ICD	Heart failure	Cardiomyopathy in nutritional diseases	I43.2
ICD	Heart failure	Cardiomyopathy in other diseases classified elsewhere	I43.8
ICD	Heart failure	Cardiomyopathy in the puerperium	O90.3
ICD	Ischaemic heart disease	Angina pectoris	I20
ICD	Ischaemic heart disease	Angina pectoris with documented spasm	I20.1
ICD	Ischaemic heart disease	Other forms of angina pectoris	I20.8
ICD	Ischaemic heart disease	"Angina pectoris, unspecified"	I20.9
ICD	Ischaemic heart disease	Chronic ischaemic heart disease	I25
ICD	Ischaemic heart disease	"Atherosclerotic cardiovascular disease, so described"	I25.0
ICD	Ischaemic heart disease	Atherosclerotic heart disease	I25.1
ICD	Ischaemic heart disease	Silent myocardial ischaemia	I25.6
ICD	Ischaemic heart disease	Other forms of chronic ischaemic heart disease	I25.8
ICD	Ischaemic heart disease	"Chronic ischaemic heart disease, unspecified"	I25.9
ICD	Ischaemic heart disease	Unstable angina	I20.0
ICD	Ischaemic heart disease	Acute myocardial infarction	I21
ICD	Ischaemic heart disease	Acute transmural myocardial infarction of anterior wall	I21.0
ICD	Ischaemic heart disease	Acute transmural myocardial infarction of inferior wall	I21.1
ICD	Ischaemic heart disease	Acute transmural myocardial infarction of other sites	I21.2
ICD	Ischaemic heart disease	Acute transmural myocardial infarction of unspecified site	I21.3
ICD	Ischaemic heart disease	Acute subendocardial myocardial infarction	I21.4
ICD	Ischaemic heart disease	"Acute myocardial infarction, unspecified"	I21.9
ICD	Ischaemic heart disease	Subsequent myocardial infarction	I22
ICD	Ischaemic heart disease	Subsequent myocardial infarction of anterior wall	I22.0
ICD	Ischaemic heart disease	Subsequent myocardial infarction of inferior wall	I22.1
ICD	Ischaemic heart disease	Subsequent myocardial infarction of other sites	I22.8
ICD	Ischaemic heart disease	Subsequent myocardial infarction of unspecified site	I22.9
